Year,Week,Date,Percent of Deaths Due to Pneumonia and Influenza (P&I),"Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)",Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,COVID-19 Deaths,"Pneumonia, Influenza or COVID-19 Deaths (PIC)"
2018,7,2/12/2018,9.665601633,9.665601633,7.22439,7.54855,59779,4599,1179,0,5778
2018,8,2/19/2018,9.201806447,9.201806447,7.21964,7.5435,57793,4426,892,0,5318
2018,9,2/26/2018,8.435052565,8.435052565,7.20123,7.52482,56692,4044,738,0,4782
2018,10,3/5/2018,8.000980856,8.000980856,7.16941,7.49272,57093,4061,507,0,4568
2018,11,3/12/2018,7.62880375,7.62880375,7.1246,7.44762,56326,3853,444,0,4297
2018,12,3/19/2018,7.420291934,7.420291934,7.06739,7.39013,55766,3793,345,0,4138
2018,13,3/26/2018,7.398302924,7.398302924,6.99857,7.32103,54918,3779,284,0,4063
2018,14,4/2/2018,7.230440916,7.230440916,6.9191,7.24128,55294,3698,300,0,3998
2018,15,4/9/2018,6.887810531,6.887810531,6.83008,7.15198,55228,3590,214,0,3804
2018,16,4/16/2018,6.630519264,6.630519264,6.73274,7.05437,54038,3430,153,0,3583
2018,17,4/23/2018,6.538611871,6.538611871,6.62845,6.94981,53727,3394,119,0,3513
2018,18,4/30/2018,6.148006178,6.148006178,6.51867,6.83975,53741,3198,106,0,3304
2018,19,5/7/2018,5.920736973,5.920736973,6.40493,6.72574,52105,3032,53,0,3085
2018,20,5/14/2018,5.922794263,5.922794263,6.28881,6.60935,50618,2955,43,0,2998
2018,21,5/21/2018,5.845392605,5.845392605,6.17194,6.49222,50929,2951,26,0,2977
2018,22,5/28/2018,5.74199236,5.74199236,6.05596,6.37596,51045,2905,26,0,2931
2018,23,6/4/2018,5.619122709,5.619122709,5.94246,6.2622,52001,2908,14,0,2922
2018,24,6/11/2018,5.738805535,5.738805535,5.83304,6.15252,51387,2935,14,0,2949
2018,25,6/18/2018,5.626518298,5.626518298,5.7292,6.04842,51044,2865,7,0,2872
2018,26,6/25/2018,5.65726084,5.65726084,5.63237,5.95134,50855,2868,9,0,2877
2018,27,7/2/2018,5.376905812,5.376905812,5.54389,5.8626,51684,2769,10,0,2779
2018,28,7/9/2018,5.442362915,5.442362915,5.46497,5.78343,51191,2781,5,0,2786
2018,29,7/16/2018,5.362682527,5.362682527,5.39667,5.71488,50609,2706,8,0,2714
2018,30,7/23/2018,5.394438477,5.394438477,5.33991,5.65786,50274,2700,12,0,2712
2018,31,7/30/2018,5.262950017,5.262950017,5.29542,5.61313,50637,2661,4,0,2665
2018,32,8/6/2018,5.264190555,5.264190555,5.26379,5.58126,50967,2673,10,0,2683
